cu_num,M,N,K,kernelId,splitK,us,kernelName
304,8,4096,7168,234,2,14.6241,a8w8_blockscale_bruteforce_1x128x128_256x32x32x512_16x16_16x16_32x8x1_32x8x1_1x32x1x8_4_1x1_intrawave_v1
304,8,7168,2048,44,2,8.8548,a8w8_blockscale_bruteforce_1x128x128_256x16x64x512_16x16_16x16_32x8x1_32x8x1_1x16x1x16_4_1x1_intrawave_v1
304,16,4096,7168,44,1,13.8516,a8w8_blockscale_bruteforce_1x128x128_256x16x64x512_16x16_16x16_32x8x1_32x8x1_1x16x1x16_4_1x1_intrawave_v1
304,16,7168,2048,44,3,8.3472,a8w8_blockscale_bruteforce_1x128x128_256x16x64x512_16x16_16x16_32x8x1_32x8x1_1x16x1x16_4_1x1_intrawave_v1
304,24,4096,7168,195,1,15.1503,a8w8_blockscale_bruteforce_1x128x128_256x32x32x512_16x16_16x16_16x16x1_16x16x1_1x32x1x8_4_1x1_intrawave_v1
304,24,7168,2048,44,2,9.259,a8w8_blockscale_bruteforce_1x128x128_256x16x64x512_16x16_16x16_32x8x1_32x8x1_1x16x1x16_4_1x1_intrawave_v1
304,32,128,512,234,0,2.7372,a8w8_blockscale_bruteforce_1x128x128_256x32x32x512_16x16_16x16_32x8x1_32x8x1_1x32x1x8_4_1x1_intrawave_v1
304,32,256,7168,234,0,10.9281,a8w8_blockscale_bruteforce_1x128x128_256x32x32x512_16x16_16x16_32x8x1_32x8x1_1x32x1x8_4_1x1_intrawave_v1
304,32,512,128,130,2,2.7004,a8w8_blockscale_bruteforce_1x128x128_256x32x32x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_4_1x1_intrawave_v1
304,32,2112,7168,195,3,13.0428,a8w8_blockscale_bruteforce_1x128x128_256x32x32x512_16x16_16x16_16x16x1_16x16x1_1x32x1x8_4_1x1_intrawave_v1
304,32,4096,7168,195,1,13.6856,a8w8_blockscale_bruteforce_1x128x128_256x32x32x512_16x16_16x16_16x16x1_16x16x1_1x32x1x8_4_1x1_intrawave_v1
304,32,7168,2048,44,0,8.6732,a8w8_blockscale_bruteforce_1x128x128_256x16x64x512_16x16_16x16_32x8x1_32x8x1_1x16x1x16_4_1x1_intrawave_v1
304,32,7168,16384,195,3,44.9956,a8w8_blockscale_bruteforce_1x128x128_256x32x32x512_16x16_16x16_16x16x1_16x16x1_1x32x1x8_4_1x1_intrawave_v1
304,32,24576,1536,820,3,17.0682,a8w8_blockscale_bruteforce_1x128x128_256x32x128x256_16x16_16x16_8x32x1_16x16x1_1x16x1x16_8_1x4_intrawave_v1
304,40,4096,7168,21,0,18.1135,a8w8_blockscale_bruteforce_1x128x128_256x16x64x512_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1
304,40,7168,2048,427,3,9.6925,a8w8_blockscale_bruteforce_1x128x128_256x32x64x512_16x16_16x16_16x16x1_32x8x1_1x32x1x8_8_1x2_intrawave_v1
304,48,4096,7168,44,3,17.8567,a8w8_blockscale_bruteforce_1x128x128_256x16x64x512_16x16_16x16_32x8x1_32x8x1_1x16x1x16_4_1x1_intrawave_v1
304,48,7168,2048,415,1,9.8281,a8w8_blockscale_bruteforce_1x128x128_256x32x64x512_16x16_16x16_16x16x1_32x8x1_1x16x1x16_4_1x2_intrawave_v1
304,56,4096,7168,195,2,19.1112,a8w8_blockscale_bruteforce_1x128x128_256x32x32x512_16x16_16x16_16x16x1_16x16x1_1x32x1x8_4_1x1_intrawave_v1
304,56,7168,2048,415,2,9.8997,a8w8_blockscale_bruteforce_1x128x128_256x32x64x512_16x16_16x16_16x16x1_32x8x1_1x16x1x16_4_1x2_intrawave_v1
304,64,128,512,1797,2,3.6373,a8w8_blockscale_bruteforce_1x128x128_256x64x32x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_4_1x2_intrawave_v1
304,64,256,7168,234,3,11.1254,a8w8_blockscale_bruteforce_1x128x128_256x32x32x512_16x16_16x16_32x8x1_32x8x1_1x32x1x8_4_1x1_intrawave_v1
304,64,512,128,130,0,2.9332,a8w8_blockscale_bruteforce_1x128x128_256x32x32x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_4_1x1_intrawave_v1
304,64,2112,7168,195,2,13.4415,a8w8_blockscale_bruteforce_1x128x128_256x32x32x512_16x16_16x16_16x16x1_16x16x1_1x32x1x8_4_1x1_intrawave_v1
304,64,4096,7168,343,3,17.7392,a8w8_blockscale_bruteforce_1x128x128_256x32x64x512_16x16_16x16_8x32x1_32x8x1_1x32x1x8_8_1x2_intrawave_v1
304,64,7168,2048,468,1,9.3189,a8w8_blockscale_bruteforce_1x128x128_256x32x64x512_16x16_16x16_32x8x1_32x8x1_1x16x1x16_4_1x2_intrawave_v1
