cu_num,M,N,K,kernelId,splitK,us,kernelName
304,1,256,7168,234,2,12.5134,a8w8_blockscale_1x128x128_256x32x32x512_16x16_16x16_32x8x1_32x8x1_1x32x1x8_4_1x1_intrawave_v1
304,1,512,7168,195,1,14.3586,a8w8_blockscale_1x128x128_256x32x32x512_16x16_16x16_16x16x1_16x16x1_1x32x1x8_4_1x1_intrawave_v1
304,1,576,7168,234,1,14.2966,a8w8_blockscale_1x128x128_256x32x32x512_16x16_16x16_32x8x1_32x8x1_1x32x1x8_4_1x1_intrawave_v1
304,1,1536,1536,234,3,5.312,a8w8_blockscale_1x128x128_256x32x32x512_16x16_16x16_32x8x1_32x8x1_1x32x1x8_4_1x1_intrawave_v1
304,1,1536,7168,195,2,14.6926,a8w8_blockscale_1x128x128_256x32x32x512_16x16_16x16_16x16x1_16x16x1_1x32x1x8_4_1x1_intrawave_v1
304,1,1536,8192,234,2,16.2608,a8w8_blockscale_1x128x128_256x32x32x512_16x16_16x16_32x8x1_32x8x1_1x32x1x8_4_1x1_intrawave_v1
304,1,3072,1536,234,1,6.2443,a8w8_blockscale_1x128x128_256x32x32x512_16x16_16x16_32x8x1_32x8x1_1x32x1x8_4_1x1_intrawave_v1
304,1,4096,512,135,3,3.9254,a8w8_blockscale_1x128x128_256x32x32x256_16x16_16x16_8x32x1_8x32x1_1x32x1x8_4_1x1_intrawave_v1
304,1,4608,7168,234,3,15.2142,a8w8_blockscale_1x128x128_256x32x32x512_16x16_16x16_32x8x1_32x8x1_1x32x1x8_4_1x1_intrawave_v1
304,1,7168,256,130,1,3.611,a8w8_blockscale_1x128x128_256x32x32x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_4_1x1_intrawave_v1
304,1,7168,2048,21,0,9.4127,a8w8_blockscale_1x128x128_256x16x64x512_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1
304,1,7168,2304,195,3,9.0623,a8w8_blockscale_1x128x128_256x32x32x512_16x16_16x16_16x16x1_16x16x1_1x32x1x8_4_1x1_intrawave_v1
304,1,8192,1536,195,3,7.4937,a8w8_blockscale_1x128x128_256x32x32x512_16x16_16x16_16x16x1_16x16x1_1x32x1x8_4_1x1_intrawave_v1
304,1,8192,7168,44,3,20.2493,a8w8_blockscale_1x128x128_256x16x64x512_16x16_16x16_32x8x1_32x8x1_1x16x1x16_4_1x1_intrawave_v1
304,1,8192,8192,21,2,27.3888,a8w8_blockscale_1x128x128_256x16x64x512_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1
304,2,512,7168,195,1,14.3269,a8w8_blockscale_1x128x128_256x32x32x512_16x16_16x16_16x16x1_16x16x1_1x32x1x8_4_1x1_intrawave_v1
304,2,1536,7168,195,2,14.8356,a8w8_blockscale_1x128x128_256x32x32x512_16x16_16x16_16x16x1_16x16x1_1x32x1x8_4_1x1_intrawave_v1
304,2,1536,8192,234,2,15.7344,a8w8_blockscale_1x128x128_256x32x32x512_16x16_16x16_32x8x1_32x8x1_1x32x1x8_4_1x1_intrawave_v1
304,2,3072,1536,234,0,5.8464,a8w8_blockscale_1x128x128_256x32x32x512_16x16_16x16_32x8x1_32x8x1_1x32x1x8_4_1x1_intrawave_v1
304,2,4096,512,135,0,3.4333,a8w8_blockscale_1x128x128_256x32x32x256_16x16_16x16_8x32x1_8x32x1_1x32x1x8_4_1x1_intrawave_v1
304,2,4608,7168,195,2,14.7484,a8w8_blockscale_1x128x128_256x32x32x512_16x16_16x16_16x16x1_16x16x1_1x32x1x8_4_1x1_intrawave_v1
304,2,7168,256,135,3,3.6324,a8w8_blockscale_1x128x128_256x32x32x256_16x16_16x16_8x32x1_8x32x1_1x32x1x8_4_1x1_intrawave_v1
304,2,7168,2048,27,2,9.309,a8w8_blockscale_1x128x128_256x16x64x512_16x16_16x16_16x16x1_32x8x1_1x16x1x16_4_1x1_intrawave_v1
304,2,7168,2304,195,2,9.0554,a8w8_blockscale_1x128x128_256x32x32x512_16x16_16x16_16x16x1_16x16x1_1x32x1x8_4_1x1_intrawave_v1
304,2,8192,1536,195,1,7.1925,a8w8_blockscale_1x128x128_256x32x32x512_16x16_16x16_16x16x1_16x16x1_1x32x1x8_4_1x1_intrawave_v1
304,2,8192,7168,27,1,20.6322,a8w8_blockscale_1x128x128_256x16x64x512_16x16_16x16_16x16x1_32x8x1_1x16x1x16_4_1x1_intrawave_v1
304,4,512,7168,205,3,14.6,a8w8_blockscale_1x128x128_256x32x32x512_16x16_16x16_16x16x1_32x8x1_1x32x1x8_4_1x1_intrawave_v1
304,4,1536,7168,234,1,15.022,a8w8_blockscale_1x128x128_256x32x32x512_16x16_16x16_32x8x1_32x8x1_1x32x1x8_4_1x1_intrawave_v1
304,4,1536,8192,195,3,16.0056,a8w8_blockscale_1x128x128_256x32x32x512_16x16_16x16_16x16x1_16x16x1_1x32x1x8_4_1x1_intrawave_v1
304,4,3072,1536,195,3,5.8388,a8w8_blockscale_1x128x128_256x32x32x512_16x16_16x16_16x16x1_16x16x1_1x32x1x8_4_1x1_intrawave_v1
304,4,4096,512,135,3,3.9461,a8w8_blockscale_1x128x128_256x32x32x256_16x16_16x16_8x32x1_8x32x1_1x32x1x8_4_1x1_intrawave_v1
304,4,4608,7168,195,1,14.7356,a8w8_blockscale_1x128x128_256x32x32x512_16x16_16x16_16x16x1_16x16x1_1x32x1x8_4_1x1_intrawave_v1
304,4,7168,256,130,0,3.0632,a8w8_blockscale_1x128x128_256x32x32x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_4_1x1_intrawave_v1
304,4,7168,2048,21,3,9.0015,a8w8_blockscale_1x128x128_256x16x64x512_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1
304,4,7168,2304,195,3,9.1366,a8w8_blockscale_1x128x128_256x32x32x512_16x16_16x16_16x16x1_16x16x1_1x32x1x8_4_1x1_intrawave_v1
304,4,8192,1536,195,1,7.4781,a8w8_blockscale_1x128x128_256x32x32x512_16x16_16x16_16x16x1_16x16x1_1x32x1x8_4_1x1_intrawave_v1
304,4,8192,7168,44,1,20.6144,a8w8_blockscale_1x128x128_256x16x64x512_16x16_16x16_32x8x1_32x8x1_1x16x1x16_4_1x1_intrawave_v1
304,8,256,7168,234,2,13.2286,a8w8_blockscale_1x128x128_256x32x32x512_16x16_16x16_32x8x1_32x8x1_1x32x1x8_4_1x1_intrawave_v1
304,8,512,7168,195,0,14.1486,a8w8_blockscale_1x128x128_256x32x32x512_16x16_16x16_16x16x1_16x16x1_1x32x1x8_4_1x1_intrawave_v1
304,8,576,7168,205,0,14.5529,a8w8_blockscale_1x128x128_256x32x32x512_16x16_16x16_16x16x1_32x8x1_1x32x1x8_4_1x1_intrawave_v1
304,8,1536,7168,195,1,15.2721,a8w8_blockscale_1x128x128_256x32x32x512_16x16_16x16_16x16x1_16x16x1_1x32x1x8_4_1x1_intrawave_v1
304,8,1536,8192,234,0,16.1108,a8w8_blockscale_1x128x128_256x32x32x512_16x16_16x16_32x8x1_32x8x1_1x32x1x8_4_1x1_intrawave_v1
304,8,3072,1536,195,3,6.2376,a8w8_blockscale_1x128x128_256x32x32x512_16x16_16x16_16x16x1_16x16x1_1x32x1x8_4_1x1_intrawave_v1
304,8,4096,512,135,1,3.4277,a8w8_blockscale_1x128x128_256x32x32x256_16x16_16x16_8x32x1_8x32x1_1x32x1x8_4_1x1_intrawave_v1
304,8,4608,7168,205,0,14.9773,a8w8_blockscale_1x128x128_256x32x32x512_16x16_16x16_16x16x1_32x8x1_1x32x1x8_4_1x1_intrawave_v1
304,8,7168,256,130,2,3.0697,a8w8_blockscale_1x128x128_256x32x32x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_4_1x1_intrawave_v1
304,8,7168,2048,21,3,9.4683,a8w8_blockscale_1x128x128_256x16x64x512_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1
304,8,7168,2304,195,0,9.1947,a8w8_blockscale_1x128x128_256x32x32x512_16x16_16x16_16x16x1_16x16x1_1x32x1x8_4_1x1_intrawave_v1
304,8,8192,1536,195,1,7.2449,a8w8_blockscale_1x128x128_256x32x32x512_16x16_16x16_16x16x1_16x16x1_1x32x1x8_4_1x1_intrawave_v1
304,8,8192,7168,44,0,21.0997,a8w8_blockscale_1x128x128_256x16x64x512_16x16_16x16_32x8x1_32x8x1_1x16x1x16_4_1x1_intrawave_v1
304,16,256,7168,27,0,11.6101,a8w8_blockscale_1x128x128_256x16x64x512_16x16_16x16_16x16x1_32x8x1_1x16x1x16_4_1x1_intrawave_v1
