M,N,K
32,2112,7168
32,24576,1536
32,512,128
32,128,512
32,7168,16384
32,4096,7168
32,7168,2048
32,256,7168
8,4096,7168
8,7168,2048
64,2112,7168
64,24576,1536
64,512,128
64,128,512
64,7168,16384
64,4096,7168
64,7168,2048
64,256,7168
16,4096,7168
16,7168,2048
96,2112,7168
96,24576,1536
96,512,128
96,128,512
96,7168,16384
96,4096,7168
96,7168,2048
96,256,7168
24,4096,7168
24,7168,2048
128,2112,7168
128,24576,1536
128,512,128
128,128,512
128,7168,16384
128,4096,7168
128,7168,2048
128,256,7168
32,4096,7168
32,7168,2048
160,2112,7168
160,24576,1536
160,512,128
160,128,512
160,7168,16384
160,4096,7168
160,7168,2048
160,256,7168
40,4096,7168
40,7168,2048
192,2112,7168
192,24576,1536
192,512,128
192,128,512
192,7168,16384
192,4096,7168
192,7168,2048
192,256,7168
48,4096,7168
48,7168,2048
224,2112,7168
224,24576,1536
224,512,128
224,128,512
224,7168,16384
224,4096,7168
224,7168,2048
224,256,7168
56,4096,7168
56,7168,2048
256,2112,7168
256,24576,1536
256,512,128
256,128,512
256,7168,16384
256,4096,7168
256,7168,2048
256,256,7168
64,4096,7168
64,7168,2048
288,2112,7168
288,24576,1536
288,512,128
288,128,512
288,7168,16384
288,4096,7168
288,7168,2048
288,256,7168
72,4096,7168
72,7168,2048
320,2112,7168
320,24576,1536
320,512,128
320,128,512
320,7168,16384
320,4096,7168
320,7168,2048
320,256,7168
80,4096,7168
80,7168,2048
352,2112,7168
352,24576,1536
352,512,128
352,128,512
352,7168,16384
352,4096,7168
352,7168,2048
352,256,7168
88,4096,7168
88,7168,2048
384,2112,7168
384,24576,1536
384,512,128
384,128,512
384,7168,16384
384,4096,7168
384,7168,2048
384,256,7168
96,4096,7168
96,7168,2048
416,2112,7168
416,24576,1536
416,512,128
416,128,512
416,7168,16384
416,4096,7168
416,7168,2048
416,256,7168
104,4096,7168
104,7168,2048
448,2112,7168
448,24576,1536
448,512,128
448,128,512
448,7168,16384
448,4096,7168
448,7168,2048
448,256,7168
112,4096,7168
112,7168,2048
480,2112,7168
480,24576,1536
480,512,128
480,128,512
480,7168,16384
480,4096,7168
480,7168,2048
480,256,7168
120,4096,7168
120,7168,2048
512,2112,7168
512,24576,1536
512,512,128
512,128,512
512,7168,16384
512,4096,7168
512,7168,2048
512,256,7168
128,4096,7168
128,7168,2048
544,2112,7168
544,24576,1536
544,512,128
544,128,512
544,7168,16384
544,4096,7168
544,7168,2048
544,256,7168
136,4096,7168
136,7168,2048

1024,2112,7168
1024,24576,1536
1024,512,128
1024,128,512
1024,7168,16384
1024,4096,7168
1024,7168,2048
1024,256,7168
256,4096,7168
256,7168,2048

1088,2112,7168
1088,24576,1536
1088,512,128
1088,128,512
1088,7168,16384
1088,4096,7168
1088,7168,2048
1088,256,7168
272,4096,7168
272,7168,2048
