M,N,K
36864,7168,256
36864,256,7168
25,1536,7168
25,3072,1536
25,576,7168
25,4096,512
25,7168,2048
25,4608,7168
25,7168,2304
25,512,7168
25,7168,256
25,256,7168
1,1536,1536
1,8192,8192
1,1536,8192
2,1536,8192
4,1536,8192
8,1536,8192
16,1536,8192
32,1536,8192
64,1536,8192
128,1536,8192
256,1536,8192
512,1536,8192
1024,1536,8192
2048,1536,8192
4096,1536,8192
8192,1536,8192
16384,1536,8192
32768,1536,8192
32,4096,512
32,7168,2048
32,4608,7168
32,7168,2304
32,512,7168
32,7168,256
32,256,7168
64,1536,7168
64,3072,1536
64,576,7168
64,4096,512
64,7168,2048
64,4608,7168
64,7168,2304
64,512,7168
64,7168,256
64,256,7168
16,1536,7168
16,3072,1536
16,576,7168
16,4096,512
16,7168,2048
16,4608,7168
16,7168,2304
16,512,7168
16,7168,256
16,256,7168
36864,1536,7168
36864,3072,1536
36864,576,7168
36864,4096,512
36864,7168,2048
36864,4608,7168
36864,7168,2304
36864,512,7168
2048,7168,2048
2048,4608,7168
2048,7168,2304
2048,512,7168
2048,7168,256
2048,256,7168
1024,1536,7168
1024,3072,1536
1024,576,7168
1024,4096,512
1024,7168,2048
1024,4608,7168
1024,7168,2304
1024,512,7168
1024,7168,256
1024,256,7168
8192,1536,7168
8192,3072,1536
8192,576,7168
8192,4096,512
8192,7168,2048
8192,4608,7168
8192,7168,2304
8192,512,7168
8192,7168,256
8192,256,7168
32768,1536,7168
32768,3072,1536
32768,576,7168
32768,4096,512
32768,7168,2048
32768,4608,7168
32768,7168,2304
32768,512,7168
32768,7168,256
1,8192,7168
2,8192,7168
4,8192,7168
8,8192,7168
16,8192,7168
32,8192,7168
64,8192,7168
128,8192,7168
256,8192,7168
512,8192,7168
1024,8192,7168
2048,8192,7168
4096,8192,7168
8192,8192,7168
16384,8192,7168
32768,8192,7168
1,8192,1536
2,8192,1536
4,8192,1536
8,8192,1536
16,8192,1536
32,8192,1536
64,8192,1536
128,8192,1536
256,8192,1536
512,8192,1536
1024,8192,1536
2048,8192,1536
4096,8192,1536
8192,8192,1536
16384,8192,1536
32768,8192,1536
512,1536,7168
